channel,flutter_version,dart_sdk_version,release_date,flutter_release_commit_hash,engine_version_commit_hash,snapshot_hash
beta,3.20.0-1.2.pre,3.4.0 (build 3.4.0-99.1.beta),2024-02-22T17:57:51.501417Z,1751123cde4ffad08ae27bdee4f8ddebd033fe76,299e852cb92f27c16c9bee98c4ff3a5dc5b4dfae,de526b6b436ed4145f228d96208f3c94
stable,3.19.1,3.3.0,2024-02-21T18:35:45.886089Z,abb292a07e20d696c4568099f918f6c5f330e6b0,04817c99c9fd4956f27505204f7e344335810aed,ee1eb666c76a5cb7746faf39d0b97547
beta,3.20.0-1.1.pre,3.4.0 (build 3.4.0-99.0.dev),2024-02-15T21:14:01.557551Z,d7e373c6c24efcc9781ff1365ce6336a20d15804,9869d47a2736e75470985949137241c48457bf50,de526b6b436ed4145f228d96208f3c94
stable,3.19.0,3.3.0,2024-02-15T19:22:40.743196Z,bae5e49bc2a867403c43b2aae2de8f8c33b037e4,04817c99c9fd4956f27505204f7e344335810aed,ee1eb666c76a5cb7746faf39d0b97547
beta,3.19.0-0.4.pre,3.3.0 (build 3.3.0-279.3.beta),2024-02-02T20:28:29.285939Z,b7e7d46a046ba8a22897a514bf2311a0f81ab198,98820f0a7716715df150f6adc5edd3444a088196,ee1eb666c76a5cb7746faf39d0b97547
beta,3.19.0-0.3.pre,3.3.0 (build 3.3.0-279.2.beta),2024-01-26T19:07:41.138158Z,1b197762c51e993cb77d7fafe9729ef2506e2bf7,968e2945c75c817f594e2e737bdd7bf68cba6bc0,ee1eb666c76a5cb7746faf39d0b97547
stable,3.16.9,3.2.6,2024-01-25T20:28:43.225297Z,41456452f29d64e8deb623a3c927524bcf9f111b,f40e976bedff57e69e1b3d89a7c2a3c617a03dad,f71c76320d35b65f1164dbaa6d95fe09
beta,3.19.0-0.2.pre,3.3.0 (build 3.3.0-279.0.dev),2024-01-18T19:22:49.779499Z,c1df7d07ac60336309bae9dd2d48e7cb8844ec98,4f18bb4dcb99d7e0d94aeff2ffa74e6ddef301cd,2fbca81aa1c7c6f0f5181417a7970d07
stable,3.16.8,3.2.5,2024-01-17T18:10:45.647049Z,67457e669f79e9f8d13d7a68fe09775fefbb79f4,6e2ea58a5ccbefcfadc2d4b7b8045fc6c20ab812,f71c76320d35b65f1164dbaa6d95fe09
stable,3.16.7,3.2.4,2024-01-11T22:46:20.067794Z,ef1af02aead6fe2414f3aafa5a61087b610e1332,4a585b79294e830fa89c24924d58a27cc8fbf406,f71c76320d35b65f1164dbaa6d95fe09
beta,3.19.0-0.1.pre,3.3.0 (build 3.3.0-279.0.dev),2024-01-10T22:50:33.664823Z,1a9a60d0441c5866467fb0b87909fe52cfbae6fe,bbebee146508eb837aadb52388069f1fb4037a55,2fbca81aa1c7c6f0f5181417a7970d07
stable,3.16.6,3.2.3,2024-01-10T18:45:55.576096Z,46787ee49c1fd80ab603f0702733edab54653aef,3f3e560236539b7e2702f5ac790b2a4691b32d49,f71c76320d35b65f1164dbaa6d95fe09
stable,3.16.5,3.2.3,2023-12-20T19:17:41.717259Z,78666c8dc57e9f7548ca9f8dd0740fbf0c658dc9,3f3e560236539b7e2702f5ac790b2a4691b32d49,f71c76320d35b65f1164dbaa6d95fe09
